hours,cpu,mem,disk
15.1319,99.82,91.51,95.31
15.2139,99.82,91.89,95.68
15.2944,99.82,92.26,96.04
15.3750,99.80,92.68,96.45
15.4556,99.84,93.13,96.81
15.5378,99.82,93.57,97.17
15.6183,99.80,93.94,97.55
15.6989,99.77,94.41,97.93
15.7794,99.82,94.75,98.30
15.8614,99.82,95.15,98.68
15.9419,99.84,95.57,99.05
16.0225,99.82,95.94,99.41
16.1031,99.80,96.41,99.79
