hours,cpu,mem,disk
11.0572,99.84,86.45,94.43
11.1169,99.86,86.72,94.68
11.1753,99.87,86.98,94.92
11.2350,99.85,87.26,95.16
11.2933,99.83,87.56,95.40
11.3531,99.84,87.78,95.68
11.4128,99.85,88.05,95.93
11.4711,99.85,88.35,96.18
11.5308,99.81,88.61,96.42
11.5892,99.86,88.89,96.67
11.6492,99.84,89.27,96.92
11.7075,99.84,89.54,97.16
11.7672,99.85,89.76,97.35
